stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code,parent_station
mytown-0069_01,,相川上野,,39.578809,140.186248,mytown-0069_01,,0,,
mytown-0069_02,,相川上野,,39.578925,140.186519,mytown-0069_02,,0,,
mytown-0070_01,,旧戸米川小学校前,,39.573389,140.19558,mytown-0070_01,,0,,
mytown-0070_02,,旧戸米川小学校前,,39.573407,140.195731,mytown-0070_02,,0,,
mytown-0071_01,,戸賀沢,,39.568865,140.201669,mytown-0071_01,,0,,
mytown-0071_02,,戸賀沢,,39.568952,140.201717,mytown-0071_02,,0,,
mytown-0072_01,,日蓮寺,,39.56409,140.204917,mytown-0072_01,,0,,
mytown-0072_02,,日蓮寺,,39.564162,140.205001,mytown-0072_02,,0,,
mytown-0073_01,,石川,,39.560785,140.205975,mytown-0073_01,,0,,
mytown-0073_02,,石川,,39.560793,140.206047,mytown-0073_02,,0,,
mytown-0074_01,,猫沢,,39.558747,140.20565,mytown-0074_01,,0,,
mytown-0074_02,,猫沢,,39.558733,140.205744,mytown-0074_02,,0,,
mytown-0075_01,,鷹ノ公園前,,39.555707,140.205668,mytown-0075_01,,0,,
mytown-0075_02,,鷹ノ公園前,,39.555739,140.205741,mytown-0075_02,,0,,
mytown-0076_01,,女米木中央,,39.552705,140.207617,mytown-0076_01,,0,,
mytown-0076_02,,女米木中央,,39.552732,140.207677,mytown-0076_02,,0,,
mytown-0077_01,,川崎,,39.549361,140.210146,mytown-0077_01,,0,,
mytown-0077_02,,川崎,,39.549358,140.210252,mytown-0077_02,,0,,
mytown-0078_01,,川崎渡船場前,,39.54723,140.209203,mytown-0078_01,,0,,
mytown-0078_02,,川崎渡船場前,,39.547235,140.209415,mytown-0078_02,,0,,
mytown-0079_01,,高尾温泉前,,39.543156,140.207094,mytown-0079_01,,0,,
mytown-0079_02,,高尾温泉前,,39.543161,140.207276,mytown-0079_02,,0,,
mytown-0080_01,,白川,,39.540868,140.206856,mytown-0080_01,,0,,
mytown-0080_02,,白川,,39.540914,140.207037,mytown-0080_02,,0,,
mytown-0081_01,,番屋,,39.536612,140.210738,mytown-0081_01,,0,,
mytown-0081_02,,番屋,,39.536767,140.210886,mytown-0081_02,,0,,
mytown-0082_01,,繋,,39.533603,140.217213,mytown-0082_01,,0,,
mytown-0082_02,,繋,,39.533687,140.217367,mytown-0082_02,,0,,
mytown-0083_01,,梵天野,,39.531337,140.219847,mytown-0083_01,,0,,
mytown-0083_02,,梵天野,,39.531516,140.21995,mytown-0083_02,,0,,
mytown-0084_01,,新浪温泉前,,39.530849,140.224121,mytown-0084_01,,0,,
mytown-0084_02,,新浪温泉前,,39.530941,140.224188,mytown-0084_02,,0,,
mytown-0085_01,,新波新町,,39.530674,140.227007,mytown-0085_01,,0,,
mytown-0085_02,,新波新町,,39.530783,140.227011,mytown-0085_02,,0,,
mytown-0086_01,,Ａコープ大正寺前,,39.530539,140.229669,mytown-0086_01,,0,,
mytown-0087_01,,雄和診療所前,,39.530089,140.22806,mytown-0087_01,,0,,
mytown-0087_02,,雄和診療所前,,39.530145,140.228164,mytown-0087_02,,0,,
mytown-0088_01,,新波中央,,39.528754,140.231023,mytown-0088_01,,0,,
mytown-0088_02,,新波中央,,39.528778,140.231047,mytown-0088_02,,0,,
mytown-0089_01,,新波,,39.527505,140.232224,mytown-0089_01,,0,,
mytown-0089_02,,新波,,39.527493,140.232348,mytown-0089_02,,0,,
mytown-0090_01,,旧大正寺郵便局前,,39.526506,140.232901,mytown-0090_01,,0,,
mytown-0090_02,,旧大正寺郵便局前,,39.526675,140.232814,mytown-0090_02,,0,,
mytown-0091_01,,陣笠,,39.525289,140.229205,mytown-0091_01,,0,,
mytown-0091_02,,陣笠,,39.525107,140.229272,mytown-0091_02,,0,,
mytown-0092_01,,助ノ沢,,39.520455,140.221123,mytown-0092_01,,0,,
mytown-0092_02,,助ノ沢,,39.520359,140.221298,mytown-0092_02,,0,,
mytown-0093_01,,下大橋,,39.518041,140.218681,mytown-0093_01,,0,,
mytown-0093_02,,下大橋,,39.517982,140.218872,mytown-0093_02,,0,,
mytown-0094_01,,ふるさと温泉前,,39.516128,140.217507,mytown-0094_01,,0,,
mytown-0094_02,,ふるさと温泉前,,39.516106,140.2177,mytown-0094_02,,0,,
mytown-0095_01,,東又入口,,39.512662,140.216591,mytown-0095_01,,0,,
mytown-0095_02,,東又入口,,39.512634,140.216788,mytown-0095_02,,0,,
mytown-0096_01,,西の又,,39.51081,140.213613,mytown-0096_01,,0,,
mytown-0096_02,,西の又,,39.510645,140.213725,mytown-0096_02,,0,,
mytown-0097_01,,四ツ小屋下丁,,39.656887,140.137518,mytown-0097_01,,0,,
mytown-0097_02,,四ツ小屋下丁,,39.656903,140.137621,mytown-0097_02,,0,,
mytown-0098_01,,四ツ小屋中丁,,39.655099,140.137579,mytown-0098_01,,0,,
mytown-0098_02,,四ツ小屋中丁,,39.655103,140.137636,mytown-0098_02,,0,,
mytown-0099_01,,上町生活センター前,,39.653355,140.137179,mytown-0099_01,,0,,
mytown-0099_02,,上町生活センター前,,39.653355,140.137276,mytown-0099_02,,0,,
mytown-0100_01,,四ツ小屋上丁,,39.651012,140.136198,mytown-0100_01,,0,,
mytown-0100_02,,四ツ小屋上丁,,39.651062,140.136248,mytown-0100_02,,0,,
mytown-0101_01,,芝野下丁,,39.642405,140.139371,mytown-0101_01,,0,,
mytown-0101_02,,芝野下丁,,39.642386,140.139439,mytown-0101_02,,0,,
mytown-0102_01,,沖村,,39.642728,140.14434,mytown-0102_01,,0,,
mytown-0103_01,,沖村入口,,39.642786,140.145812,mytown-0103_01,,0,,
mytown-0104_01,,芝野会館前,,39.639061,140.139282,mytown-0104_01,,0,,
mytown-0104_02,,芝野会館前,,39.639076,140.139361,mytown-0104_02,,0,,
mytown-0105_01,,芝野上丁,,39.635532,140.141066,mytown-0105_01,,0,,
mytown-0105_02,,芝野上丁,,39.635555,140.141161,mytown-0105_02,,0,,
mytown-0106_01,,芝野新田,,39.632993,140.144342,mytown-0106_01,,0,,
mytown-0106_02,,芝野新田,,39.63304,140.144394,mytown-0106_02,,0,,
mytown-0107_01,,鹿野戸下村,,39.625865,140.153518,mytown-0107_01,,0,,
mytown-0107_02,,鹿野戸下村,,39.625921,140.153622,mytown-0107_02,,0,,
mytown-0108_01,,雄和郵便局前,,39.589801,140.169774,mytown-0108_01,,0,,
mytown-0108_02,,雄和郵便局前,,39.589611,140.170209,mytown-0108_02,,0,,
mytown-0109_01,,妙法入口,,39.588556,140.179974,mytown-0109_01,,0,,
mytown-0109_02,,妙法入口,,39.588667,140.179911,mytown-0109_02,,0,,
mytown-0110_01,,糠塚華の里,,39.59335,140.187474,mytown-0110_01,,0,,
mytown-0110_02,,糠塚華の里,,39.593395,140.187302,mytown-0110_02,,0,,
mytown-0111_01,,平尾鳥入口,,39.598763,140.212453,mytown-0111_01,,0,,
mytown-0111_02,,平尾鳥入口,,39.59894,140.212543,mytown-0111_02,,0,,
mytown-0112_01,,旧種平小学校前,,39.588789,140.212165,mytown-0112_01,,0,,
mytown-0112_02,,旧種平小学校前,,39.58878,140.212286,mytown-0112_02,,0,,
mytown-0113_01,,中央保育所前,,39.587502,140.211901,mytown-0113_01,,0,,
mytown-0113_02,,中央保育所前,,39.587481,140.212007,mytown-0113_02,,0,,
mytown-0114_01,,駐在所前,,39.583672,140.215129,mytown-0114_01,,0,,
mytown-0114_02,,駐在所前,,39.583668,140.215261,mytown-0114_02,,0,,
mytown-0115_01,,野中（雄和）,,39.579812,140.21452,mytown-0115_01,,0,,
mytown-0115_02,,野中（雄和）,,39.579804,140.214624,mytown-0115_02,,0,,
mytown-0116_01,,太子前,,39.575412,140.212545,mytown-0116_01,,0,,
mytown-0116_02,,太子前,,39.575345,140.212636,mytown-0116_02,,0,,
mytown-0117_01,,金ヶ崎（雄和）,,39.571068,140.21458,mytown-0117_01,,0,,
mytown-0117_02,,金ヶ崎（雄和）,,39.57108,140.214718,mytown-0117_02,,0,,
mytown-0118_01,,左手子会館前,,39.549956,140.216936,mytown-0118_01,,0,,
mytown-0118_02,,左手子会館前,,39.550015,140.217264,mytown-0118_02,,0,,
mytown-0119_01,,左手子入口,,39.545069,140.217794,mytown-0119_01,,0,,
mytown-0119_02,,左手子入口,,39.545062,140.217993,mytown-0119_02,,0,,
mytown-0120_01,,向野下丁,,39.537042,140.226694,mytown-0120_01,,0,,
mytown-0120_02,,向野下丁,,39.537215,140.22677,mytown-0120_02,,0,,
mytown-0121_01,,向野上丁,,39.536638,140.230167,mytown-0121_01,,0,,
mytown-0121_02,,向野上丁,,39.536786,140.230211,mytown-0121_02,,0,,
mytown-0122_01,,旧大正寺小学校前,,39.525456,140.233551,mytown-0122_01,,0,,
mytown-0122_02,,旧大正寺小学校前,,39.525542,140.233767,mytown-0122_02,,0,,
mytown-0123_01,,砂村入口,,39.522932,140.233661,mytown-0123_01,,0,,
mytown-0123_02,,砂村入口,,39.522953,140.233892,mytown-0123_02,,0,,
mytown-0124_01,,クネソエ,,39.519946,140.236391,mytown-0124_01,,0,,
mytown-0124_02,,クネソエ,,39.520044,140.236598,mytown-0124_02,,0,,
mytown-0125_01,,碇田,,39.51317,140.23847,mytown-0125_01,,0,,
mytown-0125_02,,碇田,,39.513234,140.238658,mytown-0125_02,,0,,
mytown-0126_01,,萱ヶ沢入口,,39.506155,140.241054,mytown-0126_01,,0,,
mytown-0126_02,,萱ヶ沢入口,,39.506149,140.241287,mytown-0126_02,,0,,
mytown-0127_01,,大台入口,,39.502285,140.242895,mytown-0127_01,,0,,
mytown-0127_02,,大台入口,,39.502354,140.243113,mytown-0127_02,,0,,
mytown-0128_01,,萱ヶ沢下丁,,39.500903,140.247928,mytown-0128_01,,0,,
mytown-0128_02,,萱ヶ沢下丁,,39.500971,140.248012,mytown-0128_02,,0,,
mytown-0129_01,,萱ヶ沢上丁,,39.501527,140.250454,mytown-0129_01,,0,,
mytown-0129_02,,萱ヶ沢上丁,,39.501618,140.250461,mytown-0129_02,,0,,
mytown-0130_01,,命ヶ沢,,39.501515,140.25475,mytown-0130_01,,0,,
mytown-0130_02,,命ヶ沢,,39.501708,140.254844,mytown-0130_02,,0,,
mytown-0131_01,,杉菜沢入口,,39.498167,140.247452,mytown-0131_01,,0,,
mytown-0131_02,,杉菜沢入口,,39.498151,140.247564,mytown-0131_02,,0,,
mytown-0132_01,,中ノ沢入口,,39.480395,140.252502,mytown-0132_01,,0,,
mytown-0132_02,,中ノ沢入口,,39.480446,140.25273,mytown-0132_02,,0,,
mytown-0133_01,,二タノ沢入口,,39.471085,140.254334,mytown-0133_01,,0,,
mytown-0133_02,,二タノ沢入口,,39.471096,140.254614,mytown-0133_02,,0,,
mytown-0134_01,,中ノ沢会館前,,39.467314,140.253741,mytown-0134_01,,0,,
mytown-0134_02,,中ノ沢会館前,,39.467408,140.253778,mytown-0134_02,,0,,
mytown-0205_01,1,西部サービスセンター,マイタウン・バス,39.677116,140.085201,mytown-0205_01,,0,1,
mytown-0206_01,,日吉神社前,,39.676971,140.082421,mytown-0206_01,,0,,
mytown-0206_02,,日吉神社前,,39.676847,140.08277,mytown-0206_02,,0,,
mytown-0206_03,,日吉神社前,,39.675801,140.082936,mytown-0206_03,,0,,
mytown-0206_04,,日吉神社前,,39.676623,140.083388,mytown-0206_04,,0,,
mytown-0207_01,,中村入口,,39.677232,140.076865,mytown-0207_01,,0,,
mytown-0207_02,,中村入口,,39.677253,140.076562,mytown-0207_02,,0,,
mytown-0208_01,,中村一区,,39.676597,140.072224,mytown-0208_01,,0,,
mytown-0208_02,,中村一区,,39.676503,140.072223,mytown-0208_02,,0,,
mytown-0209_01,,元中村,,39.676268,140.070314,mytown-0209_01,,0,,
mytown-0209_02,,元中村,,39.67626,140.070488,mytown-0209_02,,0,,
mytown-0210_01,,中村二区,,39.674336,140.068444,mytown-0210_01,,0,,
mytown-0210_02,,中村二区,,39.674144,140.068291,mytown-0210_02,,0,,
mytown-0211_01,,大森山公園西入口,,39.67306,140.067477,mytown-0211_01,,0,,
mytown-0211_02,,大森山公園西入口,,39.673068,140.067566,mytown-0211_02,,0,,
mytown-0212_01,,中村三区,,39.670583,140.066496,mytown-0212_01,,0,,
mytown-0212_02,,中村三区,,39.670573,140.066633,mytown-0212_02,,0,,
mytown-0213_01,,浜田小学校前,,39.666908,140.06599,mytown-0213_01,,0,,
mytown-0213_02,,浜田小学校前,,39.666821,140.0661,mytown-0213_02,,0,,
mytown-0214_01,,滝ノ下一区,,39.663377,140.067087,mytown-0214_01,,0,,
mytown-0214_02,,滝ノ下一区,,39.663366,140.067188,mytown-0214_02,,0,,
mytown-0215_01,,滝ノ下二区,,39.661986,140.066665,mytown-0215_01,,0,,
mytown-0215_02,,滝ノ下二区,,39.661819,140.06678,mytown-0215_02,,0,,
mytown-0216_01,,滝ノ下三区,,39.659622,140.067127,mytown-0216_01,,0,,
mytown-0216_02,,滝ノ下三区,,39.659643,140.067232,mytown-0216_02,,0,,
