table_name,field_name,field_value,language,translation
stops,stop_name,新波中央,ja-Hrkt,あらわちゅうおう
stops,stop_name,新波中央,en,Arawa-chuo
stops,stop_name,新波,ja-Hrkt,あらわ
stops,stop_name,新波,en,Arawa
stops,stop_name,旧大正寺郵便局前,ja-Hrkt,きゅうだいしょうじゆうびんきょくまえ
stops,stop_name,旧大正寺郵便局前,en,Kyu Daishoji Yubinkyoku-mae (Former Daishoji Post Office)
stops,stop_name,陣笠,ja-Hrkt,じんがさ
stops,stop_name,陣笠,en,Jingasa
stops,stop_name,助ノ沢,ja-Hrkt,すけのさわ
stops,stop_name,助ノ沢,en,Sukenosawa
stops,stop_name,下大橋,ja-Hrkt,しもおおはし
stops,stop_name,下大橋,en,Shimo-Ohashi
stops,stop_name,ふるさと温泉前,ja-Hrkt,ふるさとおんせんまえ
stops,stop_name,ふるさと温泉前,en,Furusato Onsen-mae
stops,stop_name,東又入口,ja-Hrkt,ひがしまたいりぐち
stops,stop_name,東又入口,en,Higashimata-iriguchi
stops,stop_name,西の又,ja-Hrkt,にしのまた
stops,stop_name,西の又,en,Nishinomata
stops,stop_name,四ツ小屋下丁,ja-Hrkt,よつごやしもちょう
stops,stop_name,四ツ小屋下丁,en,Yotsugoya-shimocho
stops,stop_name,四ツ小屋中丁,ja-Hrkt,よつごやなかちょう
stops,stop_name,四ツ小屋中丁,en,Yotsugoya-nakacho
stops,stop_name,上町生活センター前,ja-Hrkt,かみちょうせいかつせんたーまえ
stops,stop_name,上町生活センター前,en,Kamicho Seikatsu Center-mae
stops,stop_name,四ツ小屋上丁,ja-Hrkt,よつごやかみちょう
stops,stop_name,四ツ小屋上丁,en,Yotsugoya-kamicho
stops,stop_name,芝野下丁,ja-Hrkt,しばのしもちょう
stops,stop_name,芝野下丁,en,Shibano-shimocho
stops,stop_name,沖村,ja-Hrkt,おきむら
stops,stop_name,沖村,en,Okimura
stops,stop_name,沖村入口,ja-Hrkt,おきむらいりぐち
stops,stop_name,沖村入口,en,Okimura-iriguchi
stops,stop_name,芝野会館前,ja-Hrkt,しばのかいかんまえ
stops,stop_name,芝野会館前,en,Shibano Kaikan-mae
stops,stop_name,芝野上丁,ja-Hrkt,しばのかみちょう
stops,stop_name,芝野上丁,en,Shibano-kamicho
stops,stop_name,芝野新田,ja-Hrkt,しばのしんでん
stops,stop_name,芝野新田,en,Shibano Shinden
stops,stop_name,鹿野戸下村,ja-Hrkt,かのとしもむら
stops,stop_name,鹿野戸下村,en,Kanoto Shimomura
stops,stop_name,雄和郵便局前,ja-Hrkt,ゆうわゆうびんきょくまえ
stops,stop_name,雄和郵便局前,en,Yuwa Yubinkyoku-mae (Yuwa Post Office)
stops,stop_name,妙法入口,ja-Hrkt,みょうほういりぐち
stops,stop_name,妙法入口,en,Myoho-iriguchi
stops,stop_name,糠塚華の里,ja-Hrkt,ぬかづかはなのさと
stops,stop_name,糠塚華の里,en,Nukazuka Hananosato
stops,stop_name,平尾鳥入口,ja-Hrkt,ひらおどりいりぐち
stops,stop_name,平尾鳥入口,en,Hiraodori-iriguchi
stops,stop_name,旧種平小学校前,ja-Hrkt,きゅうたねひらしょうがっこうまえ
stops,stop_name,旧種平小学校前,en,Kyu Tanehira Shogakko-mae (Former Tanehira Elementary School)
stops,stop_name,中央保育所前,ja-Hrkt,ちゅうおうほいくしょまえ
stops,stop_name,中央保育所前,en,Chuo Hoikusho-mae (Chuo Nursery)
stops,stop_name,駐在所前,ja-Hrkt,ちゅうざいしょまえ
stops,stop_name,駐在所前,en,Chuzaisho-mae (Police Station)
stops,stop_name,野中（雄和）,ja-Hrkt,のなか
stops,stop_name,野中（雄和）,en,Nonaka (Yuwa)
stops,stop_name,太子前,ja-Hrkt,たいしまえ
stops,stop_name,太子前,en,Taishimae
stops,stop_name,金ヶ崎（雄和）,ja-Hrkt,かねがさき
stops,stop_name,金ヶ崎（雄和）,en,Kanegasaki (Yuwa)
stops,stop_name,左手子会館前,ja-Hrkt,さでこかいかんまえ
stops,stop_name,左手子会館前,en,Sadeko Kaikan-mae
stops,stop_name,左手子入口,ja-Hrkt,さでこいりぐち
stops,stop_name,左手子入口,en,Sadeko-iriguchi
stops,stop_name,向野下丁,ja-Hrkt,むかいのしもちょう
stops,stop_name,向野下丁,en,Mukaino-shimocho
stops,stop_name,向野上丁,ja-Hrkt,むかいのかみちょう
stops,stop_name,向野上丁,en,Mukaino-kamicho
stops,stop_name,旧大正寺小学校前,ja-Hrkt,きゅうだいしょうじしょうがっこうまえ
stops,stop_name,旧大正寺小学校前,en,Kyu Daishoji Shogakko-mae (Former Daishoji Elementary School)
stops,stop_name,砂村入口,ja-Hrkt,すなむらいりぐち
stops,stop_name,砂村入口,en,Sunamura-iriguchi
stops,stop_name,クネソエ,ja-Hrkt,くねそえ
stops,stop_name,クネソエ,en,Kunesoe
stops,stop_name,碇田,ja-Hrkt,いかりだ
stops,stop_name,碇田,en,Ikarida
stops,stop_name,萱ヶ沢入口,ja-Hrkt,かやがさわいりぐち
stops,stop_name,萱ヶ沢入口,en,Kayagasawa-iriguchi
stops,stop_name,大台入口,ja-Hrkt,おおだいいりぐち
stops,stop_name,大台入口,en,Odai-iriguchi
stops,stop_name,萱ヶ沢下丁,ja-Hrkt,かやがさわしもちょう
stops,stop_name,萱ヶ沢下丁,en,Kayagasawa-shimocho
stops,stop_name,萱ヶ沢上丁,ja-Hrkt,かやがさわかみちょう
stops,stop_name,萱ヶ沢上丁,en,Kayagasawa-kamicho
stops,stop_name,命ヶ沢,ja-Hrkt,いのちがさわ
stops,stop_name,命ヶ沢,en,Inochigasawa
stops,stop_name,杉菜沢入口,ja-Hrkt,すぎなさわいりぐち
stops,stop_name,杉菜沢入口,en,Suginasawa-iriguchi
stops,stop_name,中ノ沢入口,ja-Hrkt,なかのさわいりぐち
stops,stop_name,中ノ沢入口,en,Nakanosawa-iriguchi
stops,stop_name,二タノ沢入口,ja-Hrkt,ふたのさわいりぐち
stops,stop_name,二タノ沢入口,en,Futanosawa-iriguchi
stops,stop_name,中ノ沢会館前,ja-Hrkt,なかのさわかいかんまえ
stops,stop_name,中ノ沢会館前,en,Nakanosawa Kaikan-mae
stops,stop_name,西部サービスセンター,ja-Hrkt,せいぶさーびすせんたー
stops,stop_name,西部サービスセンター,en,Seibu Shimin Service Center
stops,stop_name,日吉神社前,ja-Hrkt,ひよしじんじゃまえ
stops,stop_name,日吉神社前,en,Hiyoshi Jinja-mae (Hiyoshi Jinja Shrine)
stops,stop_name,中村入口,ja-Hrkt,なかむらいりぐち
stops,stop_name,中村入口,en,Nakamura-iriguchi
stops,stop_name,中村一区,ja-Hrkt,なかむらいっく
stops,stop_name,中村一区,en,Nakamura-ikku
stops,stop_name,元中村,ja-Hrkt,もとなかむら
stops,stop_name,元中村,en,Moto-nakamura
stops,stop_name,中村二区,ja-Hrkt,なかむらにく
stops,stop_name,中村二区,en,Nakamura-niku
stops,stop_name,大森山公園西入口,ja-Hrkt,おおもりやまこうえんにしいりぐち
stops,stop_name,大森山公園西入口,en,Omoriyama Koen nishi-iriguchi (Omoriyama Park west Entrance)
stops,stop_name,中村三区,ja-Hrkt,なかむらさんく
stops,stop_name,中村三区,en,Nakamura-sanku
stops,stop_name,浜田小学校前,ja-Hrkt,はまだしょうがっこうまえ
stops,stop_name,浜田小学校前,en,Hamada Shogakko-mae (Hamada Elementary School)
stops,stop_name,滝ノ下一区,ja-Hrkt,たきのしたいっく
stops,stop_name,滝ノ下一区,en,Takinoshita-ikku
stops,stop_name,滝ノ下二区,ja-Hrkt,たきのしたにく
stops,stop_name,滝ノ下二区,en,Takinoshita-niku
stops,stop_name,滝ノ下三区,ja-Hrkt,たきのしたさんく
stops,stop_name,滝ノ下三区,en,Takinoshita-sanku
stops,stop_name,滝ノ原,ja-Hrkt,たきのはら
stops,stop_name,滝ノ原,en,Takinohara
stops,stop_name,浜田回転地,ja-Hrkt,はまだかいてんち
stops,stop_name,浜田回転地,en,Hamada Kaitenchi
stops,stop_name,老人ホーム入口,ja-Hrkt,ろうじんほーむいりぐち
stops,stop_name,老人ホーム入口,en,Rojin Home-iriguchi (Elderly Nursing Home)
stops,stop_name,比内町,ja-Hrkt,ひないちょう
stops,stop_name,比内町,en,Hinaicho
stops,stop_name,大森山公園東入口,ja-Hrkt,おおもりやまこうえんひがしいりぐち
stops,stop_name,大森山公園東入口,en,Omoriyama Koen Higashi-iriguchi (Omoriyama Park east Entrance)
stops,stop_name,宮田沢,ja-Hrkt,みやたざわ
stops,stop_name,宮田沢,en,Miyatazawa
stops,stop_name,梅林園入口,ja-Hrkt,ばいりんえんいりぐち
stops,stop_name,梅林園入口,en,Bairin-en-iriguchi
stops,stop_name,滝ノ下入口,ja-Hrkt,たきのしたいりぐち
stops,stop_name,滝ノ下入口,en,Takinoshita-iriguchi
stops,stop_name,境川,ja-Hrkt,さかいがわ
stops,stop_name,境川,en,Sakaigawa
stops,stop_name,桂根一区,ja-Hrkt,かつらねいっく
stops,stop_name,桂根一区,en,Katsurane-ikku
stops,stop_name,桂根二区,ja-Hrkt,かつらねにく
stops,stop_name,桂根二区,en,Katsurane-niku
stops,stop_name,大山,ja-Hrkt,おおやま
stops,stop_name,大山,en,Ohyama
stops,stop_name,長浜,ja-Hrkt,ながはま
stops,stop_name,長浜,en,Nagahama
stops,stop_name,本敬寺前,ja-Hrkt,ほんきょうじまえ
stops,stop_name,本敬寺前,en,Honkyoji-mae (Honkyoji Temple)
stops,stop_name,高安森,ja-Hrkt,たかやすもり
stops,stop_name,高安森,en,Takayasumori
stops,stop_name,下浜駅前,ja-Hrkt,しもはまえきまえ
stops,stop_name,下浜駅前,en,Shimohama Sta.
stops,stop_name,下浜小学校前,ja-Hrkt,しもはましょうがっこうまえ
stops,stop_name,下浜小学校前,en,Shimohama Shogakko-mae (Shimohama Elementary School)
stops,stop_name,陽光台,ja-Hrkt,ようこうだい
stops,stop_name,陽光台,en,Yokodai
stops,stop_name,羽川保育所前,ja-Hrkt,はねかわほいくじょまえ
stops,stop_name,羽川保育所前,en,Hanekawa Hoikusho-mae (Hanekawa Nursery)
stops,stop_name,古堂,ja-Hrkt,ふるどう
stops,stop_name,古堂,en,Furudo
stops,stop_name,妙見神社前,ja-Hrkt,みょうけんじんじゃまえ
stops,stop_name,妙見神社前,en,Myoken Jinja-mae (Myoken-Jinja Shrine)
stops,stop_name,羽川公民館前,ja-Hrkt,はねかわこうみんかんまえ
stops,stop_name,羽川公民館前,en,Hanekawa Kouminkan-mae
stops,stop_name,羽川,ja-Hrkt,はねかわ
stops,stop_name,羽川,en,Hanekawa
stops,stop_name,羽川回転地,ja-Hrkt,はねかわかいてんち
stops,stop_name,羽川回転地,en,Hanekawa Kaitenchi
stops,stop_name,神田橋,ja-Hrkt,じんでんばし
stops,stop_name,神田橋,en,Jinden-bashi
stops,stop_name,弥兵衛橋,ja-Hrkt,やへえばし
stops,stop_name,弥兵衛橋,en,Yahei-bashi
stops,stop_name,田中,ja-Hrkt,たなか
stops,stop_name,田中,en,Tanaka
stops,stop_name,白幡,ja-Hrkt,しらはた
stops,stop_name,白幡,en,Shirahata
stops,stop_name,名ヶ沢入口,ja-Hrkt,みょうがさわいりぐち
stops,stop_name,名ヶ沢入口,en,Myogasawa-iriguchi
stops,stop_name,中村,ja-Hrkt,なかむら
stops,stop_name,中村,en,Nakamura
